X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
53.0,51.0,4.0,4.0,1968.0,767.8345357307694,634.8505052734454,3.0,-0.0948067645763996,236.0,227.0,4.0,106.0,102.0,8.0,107.0,104.0,4.0,476.0,463.0,4.0,214.0,208.0,8.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1188
65.0,38.0,29.0,4.0,2216.0,1015.8345357307694,870.2356067650311,6.0,-0.077196985247362,289.0,169.0,29.0,130.0,76.0,58.0,119.0,91.0,29.0,529.0,405.0,29.0,238.0,182.0,58.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1189
39.0,28.0,7.0,4.0,1481.0,280.8345357307694,242.9645196432342,4.0,-0.0722987483444299,173.0,124.0,7.0,78.0,56.0,14.0,93.0,81.0,7.0,413.0,360.0,7.0,186.0,162.0,14.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1190
61.0,22.0,17.0,4.0,1712.0,511.8345357307694,446.5120546351903,4.0,-0.0681616460602575,271.0,98.0,17.0,122.0,44.0,34.0,115.0,75.0,17.0,511.0,334.0,17.0,230.0,150.0,34.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1191
39.0,17.0,11.0,4.0,1953.0,752.8345357307694,699.5262401555655,7.0,-0.0367045822637776,173.0,76.0,11.0,78.0,34.0,22.0,93.0,70.0,11.0,413.0,312.0,11.0,186.0,140.0,22.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1192
17.0,69.0,41.0,5.0,1874.0,673.8345357307694,580.1210662448544,6.0,-0.0747342803351794,76.0,307.0,41.0,34.0,138.0,82.0,71.0,122.0,41.0,316.0,543.0,41.0,142.0,244.0,82.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1193
54.0,66.0,12.0,5.0,1784.0,583.8345357307694,472.7023941592735,6.0,-0.1051852883013391,240.0,293.0,12.0,108.0,132.0,24.0,108.0,119.0,12.0,480.0,529.0,12.0,216.0,238.0,24.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1194
16.0,66.0,7.0,5.0,2150.0,1125.66807261542,818.2804935176484,6.0,-0.1581253663049488,71.0,293.0,7.0,32.0,132.0,14.0,70.0,119.0,62.0,311.0,529.0,62.0,140.0,238.0,124.0,10.0,240.0,236.0,55.0,54.0,53.0,55.0,1195
54.0,58.0,6.0,5.0,2170.0,1145.66807261542,1169.0663770349215,7.0,0.0101084184507799,240.0,258.0,6.0,108.0,116.0,12.0,108.0,111.0,61.0,480.0,494.0,61.0,216.0,222.0,122.0,10.0,240.0,236.0,55.0,54.0,53.0,55.0,1196
24.0,56.0,6.0,5.0,2222.0,1197.66807261542,1099.7924582461144,7.0,-0.0426016521522582,107.0,249.0,6.0,48.0,112.0,12.0,78.0,109.0,61.0,347.0,485.0,61.0,156.0,218.0,122.0,10.0,240.0,236.0,55.0,54.0,53.0,55.0,1197
59.0,52.0,15.0,5.0,2363.0,1162.8345357307694,918.3782295921244,9.0,-0.1174585848269666,262.0,231.0,15.0,118.0,104.0,30.0,113.0,105.0,15.0,502.0,467.0,15.0,226.0,210.0,30.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1198
12.0,40.0,39.0,5.0,1766.0,565.8345357307694,468.9693693007448,5.0,-0.093607267965494,53.0,178.0,39.0,24.0,80.0,78.0,66.0,93.0,39.0,293.0,414.0,39.0,132.0,186.0,78.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1199
44.0,33.0,57.0,5.0,2163.0,962.8345357307694,921.5349745855884,7.0,-0.0219169122186908,196.0,147.0,57.0,88.0,66.0,114.0,98.0,86.0,57.0,436.0,383.0,57.0,196.0,172.0,114.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1200
61.0,31.0,13.0,5.0,1896.0,695.8345357307694,638.8063239657956,7.0,-0.0427292566016144,271.0,138.0,13.0,122.0,62.0,26.0,115.0,84.0,13.0,511.0,374.0,13.0,230.0,168.0,26.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1201
17.0,19.0,13.0,5.0,1725.0,524.8345357307694,458.8182450420361,8.0,-0.0671134082870865,76.0,84.0,13.0,34.0,38.0,26.0,71.0,72.0,13.0,316.0,320.0,13.0,142.0,144.0,26.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1202
63.0,11.0,6.0,5.0,2126.0,925.8345357307694,836.2991043915125,9.0,-0.0508108064567927,280.0,49.0,6.0,126.0,22.0,12.0,117.0,64.0,6.0,520.0,285.0,6.0,234.0,128.0,12.0,10.0,240.0,236.0,0.0,54.0,53.0,0.0,1203
12.0,59.0,17.0,4.0,2063.0,1038.66807261542,760.6253926741177,3.0,-0.1545288110611574,53.0,262.0,17.0,24.0,118.0,34.0,66.0,112.0,72.0,293.0,498.0,72.0,132.0,224.0,144.0,8.0,240.0,236.0,55.0,54.0,53.0,55.0,1258
33.0,44.0,31.0,5.0,2348.0,1323.66807261542,1287.1377224461062,10.0,-0.0139919829496367,147.0,196.0,31.0,66.0,88.0,62.0,87.0,97.0,86.0,387.0,432.0,86.0,174.0,194.0,172.0,10.0,240.0,236.0,55.0,54.0,53.0,55.0,1259
