X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
42.0,18.0,53.0,4.0,1470.0,394.02497541294224,377.0659720190111,8.0,-0.021993518988144688,187.0,80.0,53.0,84.0,36.0,106.0,42.0,18.0,53.0,187.0,80.0,53.0,84.0,36.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32
20.0,17.0,46.0,4.0,1724.0,648.0249754129422,541.1658474835039,4.0,-0.0898586886746801,89.0,76.0,46.0,40.0,34.0,92.0,20.0,17.0,46.0,89.0,76.0,46.0,40.0,34.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,33
16.0,41.0,23.0,5.0,1735.0,659.0249754129422,551.8053332129726,7.0,-0.08855051070008774,71.0,182.0,23.0,32.0,82.0,46.0,16.0,41.0,23.0,71.0,182.0,23.0,32.0,82.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,34
45.0,33.0,23.0,5.0,1663.0,587.0249754129422,510.3889676493013,6.0,-0.06983327325857955,200.0,147.0,23.0,90.0,66.0,46.0,45.0,33.0,23.0,200.0,147.0,23.0,90.0,66.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35
26.0,33.0,29.0,5.0,2086.0,1010.0249754129422,1005.3850420790436,11.0,-0.0023022279802263988,116.0,147.0,29.0,52.0,66.0,58.0,26.0,33.0,29.0,116.0,147.0,29.0,52.0,66.0,58.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,36
41.0,58.0,36.0,2.0,1126.0,108.1151184318229,45.07696627562418,1.0,-0.411497449601156,182.0,258.0,36.0,82.0,116.0,72.0,41.0,111.0,36.0,182.0,494.0,36.0,82.0,222.0,72.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,37
35.0,56.0,21.0,2.0,1262.0,244.1151184318229,121.61454223013769,1.0,-0.3349484315271629,156.0,249.0,21.0,70.0,112.0,42.0,35.0,109.0,21.0,156.0,485.0,21.0,70.0,218.0,42.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,38
20.0,56.0,50.0,2.0,1318.0,300.1151184318229,140.3502243061667,3.0,-0.3627184221408589,89.0,249.0,50.0,40.0,112.0,100.0,20.0,109.0,50.0,89.0,485.0,50.0,40.0,218.0,100.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,39
15.0,56.0,50.0,2.0,1126.0,108.1151184318229,32.47564561426128,1.0,-0.538011677586216,67.0,249.0,50.0,30.0,112.0,100.0,15.0,109.0,50.0,67.0,485.0,50.0,30.0,218.0,100.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,40
36.0,55.0,26.0,2.0,1202.0,184.1151184318229,119.18070888502304,4.0,-0.21409595417534194,160.0,244.0,26.0,72.0,110.0,52.0,36.0,108.0,26.0,160.0,480.0,26.0,72.0,216.0,52.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,41
37.0,51.0,26.0,2.0,1248.0,230.1151184318229,109.60953270659112,1.0,-0.35471545947996036,164.0,227.0,26.0,74.0,102.0,52.0,37.0,104.0,26.0,164.0,463.0,26.0,74.0,208.0,52.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,42
31.0,51.0,38.0,2.0,1068.0,50.11511843182291,10.465535271307258,3.0,-0.6544924944985692,138.0,227.0,38.0,62.0,102.0,76.0,31.0,104.0,38.0,138.0,463.0,38.0,62.0,208.0,76.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,43
25.0,50.0,19.0,2.0,1202.0,184.1151184318229,62.72627528071042,4.0,-0.4917685859952629,111.0,222.0,19.0,50.0,100.0,38.0,25.0,103.0,19.0,111.0,458.0,19.0,50.0,206.0,38.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,44
48.0,48.0,47.0,2.0,1175.0,157.1151184318229,64.76641466007538,2.0,-0.4162072547673392,213.0,213.0,47.0,96.0,96.0,94.0,48.0,101.0,47.0,213.0,449.0,47.0,96.0,202.0,94.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,45
40.0,48.0,35.0,2.0,1375.0,357.1151184318229,200.73034583688627,2.0,-0.28033708726115497,178.0,213.0,35.0,80.0,96.0,70.0,40.0,101.0,35.0,178.0,449.0,35.0,80.0,202.0,70.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,46
27.0,46.0,32.0,2.0,1094.0,76.1151184318229,21.213356983802917,4.0,-0.5640873466225657,120.0,204.0,32.0,54.0,92.0,64.0,27.0,99.0,32.0,120.0,440.0,32.0,54.0,198.0,64.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,47
37.0,45.0,47.0,2.0,1243.0,225.1151184318229,158.22439441708678,1.0,-0.1744947279700347,164.0,200.0,47.0,74.0,90.0,94.0,37.0,98.0,47.0,164.0,436.0,47.0,74.0,196.0,94.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,48
16.0,44.0,46.0,2.0,1178.0,160.1151184318229,78.64275627886373,4.0,-0.341234240971875,71.0,196.0,46.0,32.0,88.0,92.0,16.0,97.0,46.0,71.0,432.0,46.0,32.0,194.0,92.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,49
53.0,42.0,29.0,2.0,1066.0,48.11511843182291,11.505365321939022,3.0,-0.6140465626056562,236.0,187.0,29.0,106.0,84.0,58.0,53.0,95.0,29.0,236.0,423.0,29.0,106.0,190.0,58.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,50
21.0,41.0,19.0,2.0,1125.0,107.1151184318229,41.13145842697386,3.0,-0.4450939873485089,93.0,182.0,19.0,42.0,82.0,38.0,21.0,94.0,19.0,93.0,418.0,19.0,42.0,188.0,38.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,51
19.0,40.0,49.0,2.0,1140.0,122.1151184318229,64.42764019982711,1.0,-0.3092453368608444,84.0,178.0,49.0,38.0,80.0,98.0,19.0,93.0,49.0,84.0,414.0,49.0,38.0,186.0,98.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,52
47.0,39.0,42.0,2.0,1641.0,623.1151184318229,317.120319721279,1.0,-0.32544486869332157,209.0,173.0,42.0,94.0,78.0,84.0,47.0,92.0,42.0,209.0,409.0,42.0,94.0,184.0,84.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,53
40.0,39.0,42.0,2.0,1442.0,424.1151184318229,170.37943935897974,1.0,-0.4268090863871802,178.0,173.0,42.0,80.0,78.0,84.0,40.0,92.0,42.0,178.0,409.0,42.0,80.0,184.0,84.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,54
52.0,36.0,51.0,2.0,2082.0,1064.1151184318228,489.17021758487283,2.0,-0.37014763966121045,231.0,160.0,51.0,104.0,72.0,102.0,52.0,89.0,51.0,231.0,396.0,51.0,104.0,178.0,102.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,55
17.0,35.0,18.0,2.0,1122.0,104.1151184318229,39.202035574690036,2.0,-0.452933100068279,76.0,156.0,18.0,34.0,70.0,36.0,17.0,88.0,18.0,76.0,392.0,18.0,34.0,176.0,36.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,56
21.0,34.0,53.0,2.0,1143.0,125.1151184318229,46.76071193620964,1.0,-0.45587798079482916,93.0,151.0,53.0,42.0,68.0,106.0,21.0,87.0,53.0,93.0,387.0,53.0,42.0,174.0,106.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,57
18.0,32.0,21.0,2.0,1111.0,93.1151184318229,36.662039132975266,2.0,-0.4350001214247617,80.0,142.0,21.0,36.0,64.0,42.0,18.0,85.0,21.0,80.0,378.0,21.0,36.0,170.0,42.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,58
22.0,31.0,15.0,2.0,1181.0,163.1151184318229,68.43311875366228,5.0,-0.4089083157316986,98.0,138.0,15.0,44.0,62.0,30.0,22.0,84.0,15.0,98.0,374.0,15.0,44.0,168.0,30.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,59
40.0,25.0,47.0,2.0,1414.0,396.1151184318229,223.8019634646944,1.0,-0.27796161776986283,178.0,111.0,47.0,80.0,50.0,94.0,40.0,78.0,47.0,178.0,347.0,47.0,80.0,156.0,94.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,60
36.0,24.0,49.0,2.0,1139.0,121.1151184318229,71.88188572366859,1.0,-0.2550984297584676,160.0,107.0,49.0,72.0,48.0,98.0,36.0,77.0,49.0,160.0,343.0,49.0,72.0,154.0,98.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,61
31.0,24.0,46.0,2.0,1101.0,83.1151184318229,53.583096393453694,2.0,-0.21603809586040404,138.0,107.0,46.0,62.0,48.0,92.0,31.0,77.0,46.0,138.0,343.0,46.0,62.0,154.0,92.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,62
23.0,22.0,50.0,2.0,1441.0,423.1151184318229,253.354820130473,1.0,-0.25095024719375125,102.0,98.0,50.0,46.0,44.0,100.0,23.0,75.0,50.0,102.0,334.0,50.0,46.0,150.0,100.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,63
41.0,21.0,26.0,2.0,1558.0,540.1151184318229,400.40259958654326,1.0,-0.14854852404019397,182.0,93.0,26.0,82.0,42.0,52.0,41.0,74.0,26.0,182.0,329.0,26.0,82.0,148.0,52.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,64
23.0,21.0,33.0,2.0,1688.0,670.1151184318229,394.21357888331744,1.0,-0.25922587659666657,102.0,93.0,33.0,46.0,42.0,66.0,23.0,74.0,33.0,102.0,329.0,33.0,46.0,148.0,66.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,65
43.0,19.0,46.0,2.0,1056.0,38.11511843182291,7.633127662894627,1.0,-0.6662985659782044,191.0,84.0,46.0,86.0,38.0,92.0,43.0,72.0,46.0,191.0,320.0,46.0,86.0,144.0,92.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,66
17.0,19.0,21.0,2.0,1206.0,188.1151184318229,85.7580736101525,2.0,-0.3737388243752699,76.0,84.0,21.0,34.0,38.0,42.0,17.0,72.0,21.0,76.0,320.0,21.0,34.0,144.0,42.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,67
30.0,17.0,20.0,2.0,1709.0,691.1151184318229,413.90298739681475,1.0,-0.25086659627819463,133.0,76.0,20.0,60.0,34.0,40.0,30.0,70.0,20.0,133.0,312.0,20.0,60.0,140.0,40.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,68
22.0,17.0,52.0,2.0,1254.0,236.1151184318229,113.83448744286049,1.0,-0.34942354252215096,98.0,76.0,52.0,44.0,34.0,104.0,22.0,70.0,52.0,98.0,312.0,52.0,44.0,140.0,104.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,69
45.0,16.0,46.0,2.0,1058.0,40.11511843182291,16.4754592533161,1.0,-0.4177313635148614,200.0,71.0,46.0,90.0,32.0,92.0,45.0,69.0,46.0,200.0,307.0,46.0,90.0,138.0,92.0,4.0,0.0,236.0,0.0,0.0,53.0,0.0,70
