,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
135,49.0,20.0,61.0,2.0,1329.0,253.02497541294224,109.65116831613705,49.0,20.0,61.0,0,0,0
136,41.0,20.0,56.0,2.0,1369.0,293.02497541294224,154.97638877657928,41.0,20.0,56.0,0,0,0
137,31.0,20.0,28.0,2.0,1108.0,32.02497541294224,5.558911961846519,31.0,20.0,28.0,0,0,0
138,19.0,20.0,44.0,2.0,1725.0,649.0249754129422,333.9509227303618,19.0,20.0,44.0,0,0,0
139,7.0,20.0,39.0,2.0,1296.0,220.02497541294224,108.58855537160363,7.0,20.0,39.0,0,0,0
140,2.0,20.0,50.0,2.0,1474.0,398.02497541294224,211.68686991425167,2.0,20.0,50.0,0,0,0
141,43.0,19.0,12.0,2.0,1724.0,648.0249754129422,260.0114230181699,43.0,19.0,12.0,0,0,0
142,42.0,19.0,20.0,2.0,1508.0,432.02497541294224,220.0390853949764,42.0,19.0,20.0,0,0,0
143,33.0,19.0,14.0,2.0,2214.0,1138.0249754129422,511.9281511242131,33.0,19.0,14.0,0,0,0
144,13.0,19.0,8.0,2.0,1849.0,773.0249754129422,346.35361958700065,13.0,19.0,8.0,0,0,0
145,65.0,18.0,13.0,2.0,1500.0,424.02497541294224,232.92537164790284,65.0,18.0,13.0,0,0,0
146,40.0,18.0,52.0,2.0,1442.0,366.02497541294224,195.2826410934119,40.0,18.0,52.0,0,0,0
147,21.0,18.0,35.0,2.0,1907.0,831.0249754129422,542.0304530364527,21.0,18.0,35.0,0,0,0
148,11.0,18.0,26.0,2.0,2264.0,1188.0249754129422,485.8035875866967,11.0,18.0,26.0,0,0,0
149,51.0,17.0,3.0,2.0,1970.0,894.0249754129422,416.3964846600477,51.0,17.0,3.0,0,0,0
150,29.0,17.0,14.0,2.0,2304.0,1228.0249754129422,572.4331609419355,29.0,17.0,14.0,0,0,0
151,12.0,17.0,14.0,2.0,1892.0,816.0249754129422,340.6686268339122,12.0,17.0,14.0,0,0,0
152,31.0,16.0,10.0,2.0,2295.0,1219.0249754129422,511.9292040231462,31.0,16.0,10.0,0,0,0
153,24.0,16.0,35.0,2.0,1866.0,790.0249754129422,521.7976223156954,24.0,16.0,35.0,0,0,0
154,22.0,16.0,30.0,2.0,1240.0,164.02497541294224,95.03725241251604,22.0,16.0,30.0,0,0,0
155,19.0,16.0,43.0,2.0,1694.0,618.0249754129422,238.98520554951102,19.0,16.0,43.0,0,0,0
156,18.0,16.0,14.0,2.0,2029.0,953.0249754129422,405.52228593596584,18.0,16.0,14.0,0,0,0
157,13.0,16.0,48.0,2.0,1761.0,685.0249754129422,305.784077446351,13.0,16.0,48.0,0,0,0
158,13.0,16.0,43.0,2.0,1711.0,635.0249754129422,382.9244188197198,13.0,16.0,43.0,0,0,0
159,9.0,16.0,7.0,2.0,1512.0,436.02497541294224,213.79218842015382,9.0,16.0,7.0,0,0,0
160,48.0,15.0,31.0,2.0,1464.0,388.02497541294224,288.5834118774623,48.0,15.0,31.0,0,0,0
161,22.0,15.0,18.0,2.0,2021.0,945.0249754129422,396.6517477166079,22.0,15.0,18.0,0,0,0
162,12.0,15.0,33.0,2.0,1540.0,464.02497541294224,190.50822701392912,12.0,15.0,33.0,0,0,0
163,53.0,14.0,18.0,2.0,1242.0,166.02497541294224,94.29018531312843,53.0,14.0,18.0,0,0,0
164,24.0,14.0,40.0,2.0,1605.0,529.0249754129422,312.78697552005656,24.0,14.0,40.0,0,0,0
165,14.0,14.0,11.0,2.0,1903.0,827.0249754129422,243.21739244954543,14.0,14.0,11.0,0,0,0
166,65.0,13.0,19.0,2.0,1557.0,481.02497541294224,238.35008174244547,65.0,13.0,19.0,0,0,0
